AQA,SBAQ,Araraquara Airport,"-21,81200000","-48,13299900"
AJU,SBAR,Aracaju - Santa Maria Airport,"-10,98394000","-37,07287300"
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,"-9,86638900","-56,10629800"
ARU,SBAU,Araçatuba Airport,"-21,14147900","-50,42457500"
AAX,SBAX,Romeu Zema Airport,"-19,56320000","-46,96040000"
BEL,SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,"-1,37927900","-48,47620700"
BGX,SBBG,Comandante Gustavo Kraemer Airport,"-31,39049900","-54,11220200"
PLU,SBBH,Pampulha - Carlos Drummond de Andrade Airport,"-19,85074000","-43,95031600"
BFH,SBBI,Bacacheri Airport,"-25,40510000","-49,23199800"
BJP,SBBP,Estadual Arthur Siqueira Airport,"-22,97882200","-46,53713100"
BSB,SBBR,Presidente Juscelino Kubitschek International Airport,"-15,86916700","-47,92083400"
BAT,SNBA,Chafei Amsei Airport,"-20,58463100","-48,59412500"
BVB,SBBV,Atlas Brasil Cantanhede International Airport,"2,84615000","-60,69064800"
BPG,SBBW,Barra do Garças Airport,"-15,86141700","-52,38900800"
BZC,SSBZ,Umberto Modiano Airport,"-22,77088100","-41,96308000"
CAC,SBCA,Coronel Adalberto Mendes da Silva Airport,"-25,00032300","-53,50120800"
CFB,SBCB,Cabo Frio Airport,"-22,92148500","-42,07187400"
CFC,SBCD,Doctor Carlos Alberto da Costa Neves Airport,"-26,78742300","-50,93994200"
CNF,SBCF,Tancredo Neves International Airport,"-19,63571000","-43,96692800"
CGR,SBCG,Campo Grande Airport,"-20,46999800","-54,67398800"
XAP,SBCH,Serafin Enoss Bertaso Airport,"-27,13419900","-52,65660100"
CLN,SBCI,Brig. Lysias Augusto Rodrigues Airport,"-7,32044000","-47,45869800"
CKS,SBCJ,Carajás Airport,"-6,11784100","-50,00337200"
CCM,SSIM,Forquilhinha - Criciúma  Airport,"-28,72574300","-49,42447500"
CLV,SBCN,Nelson Ribeiro Guimarães Airport,"-17,72509600","-48,60632400"
QNS,SBCO,Canoas Air Force Base,"-29,94592800","-51,14441300"
CAW,SBCP,Bartolomeu Lisandro Airport,"-21,69829900","-41,30170100"
CMG,SBCR,Corumbá International Airport,"-19,01193000","-57,67277200"
CWB,SBCT,Curitiba-Afonso Pena International Airport,"-25,52850000","-49,17580000"
CRQ,SSCV,Caravelas Airport,"-17,65230000","-39,25310100"
CXJ,SBCX,Hugo Cantergiani Regional Airport,"-29,19718300","-51,18764700"
CGB,SBCY,Várzea Grande–Marechal Rondon International Airport,"-15,65290000","-56,11669900"
CZS,SBCZ,Cruzeiro do Sul Airport,"-7,59991000","-72,76950100"
BYO,SBDB,Bonito Airport,"-21,24730000","-56,45239900"
PPB,SBDN,Presidente Prudente Airport,"-22,17510000","-51,42459900"
DOU,SBDO,Dourados Airport,"-22,20190000","-54,92660100"
MAO,SBEG,Eduardo Gomes International Airport,"-3,03861000","-60,04970200"
JCR,SBEK,Jacareacanga Airport,"-6,23316000","-57,77690100"
IGU,SBFI,Cataratas International Airport,"-25,59416700","-54,48944400"
FLN,SBFL,Hercílio Luz International Airport,"-27,67027900","-48,55250200"
FEN,SBFN,Fernando de Noronha Airport,"-3,85453400","-32,42301700"
FOR,SBFZ,Pinto Martins International Airport,"-3,77583300","-38,53222200"
GIG,SBGL,Rio Galeão – Tom Jobim International Airport,"-22,80999900","-43,25055700"
GJM,SBGM,Guajará-Mirim Airport,"-10,78641000","-65,28486000"
GYN,SBGO,Santa Genoveva International Airport,"-16,63200000","-49,22069900"
GRU,SBGR,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,"-23,43127400","-46,46995400"
GPB,SSGG,Tancredo Thomas de Faria Airport,"-25,38832700","-51,52349000"
GVR,SBGV,Coronel Altino Machado Airport,"-18,89588200","-41,98286900"
GUJ,SBGW,Edu Chaves Field,"-22,79159900","-45,20480000"
ATM,SBHT,Altamira Interstate Airport,"-3,25314400","-52,25393800"
ITA,SBIC,Itacoatiara Airport,"-3,12653900","-58,48166800"
ITB,SBIH,Itaituba Airport,"-4,24213100","-56,00065100"
IOS,SBIL,Bahia - Jorge Amado Airport,"-14,81592900","-39,03345800"
IPN,SBIP,Usiminas Airport,"-19,47069900","-42,48759800"
ITR,SBIT,Francisco Vilela do Amaral Airport,"-18,44470000","-49,21340200"
IMP,SBIZ,Prefeito Renato Moreira Airport,"-5,53129000","-47,45999900"
JJG,SBJA,Humberto Ghizzo Bortoluzzi Regional Airport,"-28,67530000","-49,05960000"
QDV,SBJD,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,"-23,18086100","-46,94392100"
JJD,SBJE,Comandante Ariston Pessoa Airport,"-2,90642500","-40,35733800"
JDF,SBJF,Francisco de Assis Airport,"-21,79148200","-43,38607200"
JHF,SBJH,São Paulo Catarina Executive Airport,"-23,42688600","-47,16565800"
JPR,SBJI,Ji-Paraná Airport,"-10,87074300","-61,84667500"
JPA,SBJP,Presidente Castro Pinto International Airport,"-7,14869100","-34,95055400"
RRJ,SBJR,Jacarepaguá - Roberto Marinho Airport,"-22,98677300","-43,37219400"
JDO,SBJU,Orlando Bezerra de Menezes Airport,"-7,21932000","-39,26909600"
JOI,SBJV,Lauro Carneiro de Loyola Airport,"-26,22450100","-48,79740100"
CPV,SBKG,Presidente João Suassuna Airport,"-7,26966200","-35,89605700"
VCP,SBKP,Viracopos International Airport,"-23,00740400","-47,13450200"
LEC,SBLE,Coronel Horácio de Mattos Airport,"-12,48230000","-41,27700000"
LAJ,SBLJ,Lages Airport,"-27,78210100","-50,28150200"
LIP,SWXQ,Lins Airport,"-21,66349100","-49,72995400"
LDB,SBLO,Governor José Richa Airport,"-23,33437500","-51,12836500"
LAZ,SBLP,Bom Jesus da Lapa Airport,"-13,26210000","-43,40810000"
MAB,SBMA,João Correa da Rocha Airport,"-5,36859000","-49,13800000"
MQH,SWIQ,Minaçu Airport,"-13,54910000","-48,19530100"
MEU,SBMD,Monte Dourado - Serra do Areão Airport,"-0,88983900","-52,60220000"
MEA,SBME,Macaé Benedito Lacerda Airport,"-22,34300000","-41,76599900"
MGF,SBMG,Regional de Maringá - Sílvio Name Júnior Airport,"-23,47606000","-52,01618700"
MOC,SBMK,Mário Ribeiro Airport,"-16,70691900","-43,81890100"
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport,"-22,19689900","-49,92648500"
PLL,SBMN,Ponta Pelada Airport / Manaus Air Base,"-3,14604000","-59,98630100"
MCZ,SBMO,Zumbi dos Palmares International Airport,"-9,51255900","-35,79183900"
MCP,SBMQ,Macapá - Alberto Alcolumbre International Airport,"0,05066400","-51,07220100"
MVF,SBMS,Dix-Sept Rosado Airport,"-5,20192000","-37,36430000"
RTE,SBMT,Campo de Marte Airport,"-23,50910000","-46,63779800"
MNX,SBMY,Manicoré Airport,"-5,81138000","-61,27830100"
NVT,SBNF,Ministro Victor Konder International Airport,"-26,87943100","-48,65097900"
GEL,SBNM,Santo Ângelo Airport,"-28,28250300","-54,16962300"
OYK,SBOI,Oiapoque Airport,"3,85412000","-51,79705600"
POA,SBPA,Porto Alegre-Salgado Filho International Airport,"-29,99398400","-51,16748200"
PHB,SBPB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,"-2,89375000","-41,73199800"
POO,SBPC,Poços de Caldas - Embaixador Walther Moreira Salles Airport,"-21,84252900","-46,56976800"
PFB,SBPF,Lauro Kurtz Airport,"-28,24397600","-52,32777000"
PGZ,SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,"-25,18447600","-50,14382200"
PMW,SBPJ,Brigadeiro Lysias Rodrigues Airport,"-10,29150000","-48,35699800"
PET,SBPK,João Simões Lopes Neto International Airport,"-31,71718900","-52,32779600"
PNZ,SBPL,Senador Nilo Coelho Airport,"-9,36242200","-40,56909800"
PNB,SDPE,Porto Nacional Airport,"-10,71940200","-48,39970000"
PTO,SBPO,Juvenal Loureiro Cardoso Airport,"-26,21718400","-52,69446300"
PMG,SBPP,Ponta Porã Airport,"-22,54960100","-55,70259900"
BPS,SBPS,Porto Seguro International Airport,"-16,43842600","-39,08058400"
PVH,SBPV,Governador Jorge Teixeira de Oliveira International Airport,"-8,70849100","-63,90233800"
RBR,SBRB,Rio Branco-Plácido de Castro International Airport,"-9,86903100","-67,89398400"
ROO,SBRD,Maestro Marinho Franco Airport,"-16,58429200","-54,72480300"
REC,SBRF,Recife/Guararapes - Gilberto Freyre International Airport,"-8,12747000","-34,92296100"
SDU,SBRJ,Santos Dumont Airport,"-22,91039700","-43,16282000"
RAO,SBRP,Leite Lopes Airport,"-21,13431400","-47,77405300"
BRB,SSRS,Barreirinhas National Airport,"-2,75664400","-42,80318700"
SNZ,SBSC,Santa Cruz Air Force Base,"-22,93240000","-43,71910100"
NAT,SBSG,Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"-5,76982200","-35,36661000"
OPS,SBSI,Presidente João Batista Figueiredo Airport,"-11,88500100","-55,58610900"
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,"-23,22920000","-45,86150000"
SLZ,SBSL,Marechal Cunha Machado International Airport,"-2,58638600","-44,23500800"
RIA,SBSM,Santa Maria Airport,"-29,71139900","-53,68820200"
STM,SBSN,Santarém - Maestro Wilson Fonseca International Airport,"-2,42242300","-54,79306000"
SMT,SBSO,Adolino Bedin Regional Airport,"-12,47917700","-55,67234100"
CGH,SBSP,Congonhas–Deputado Freitas Nobre Airport,"-23,62765700","-46,65460100"
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,"-20,81711300","-49,40696300"
SSZ,SBST,Santos Nero Moura Air Base / Guarujá Airport,"-23,92819200","-46,30019500"
SSA,SBSV,Deputado Luiz Eduardo Magalhães International Airport,"-12,90861100","-38,32249800"
TMT,SBTB,Trombetas Airport,"-1,48960000","-56,39680100"
UNA,SBTC,Una-Comandatuba Airport,"-15,35435800","-38,99872900"
TOW,SBTD,Toledo - Luiz Dalcanale Filho Municipal Airport,"-24,68630000","-53,69749800"
THE,SBTE,Senador Petrônio Portela Airport,"-5,06025000","-42,82371200"
TFF,SBTF,Tefé Airport,"-3,38294000","-64,72409800"
TJL,SBTG,Plínio Alarcom Airport,"-20,75264300","-51,68202600"
TRQ,SBTK,Tarauacá Airport,"-8,15553400","-70,78298500"
TEC,SSVL,Telêmaco Borba Airport,"-24,31780100","-50,65160000"
TSQ,SSTE,Torres Airport,"-29,41490000","-49,81000100"
TBT,SBTT,Tabatinga International Airport,"-4,25567000","-69,93579900"
TUR,SBTU,Tucuruí Airport,"-3,78601000","-49,72029900"
SJL,SBUA,São Gabriel da Cachoeira Airport,"-0,14835000","-66,98550000"
PAV,SBUF,Paulo Afonso Airport,"-9,40088000","-38,25059900"
URG,SBUG,Rubem Berta Airport,"-29,78220000","-57,03820000"
UDI,SBUL,Ten. Cel. Aviador César Bombonato Airport,"-18,88357900","-48,22593600"
UBA,SBUR,Mário de Almeida Franco Airport,"-19,76503600","-47,96480500"
RPU,SBUY,Urucu Airport,"-4,88426300","-65,35542100"
VAG,SBVG,Major Brigadeiro Trompowsky Airport,"-21,59137500","-45,47411600"
BVH,SBVH,Brigadeiro Camarão Airport,"-12,69440000","-60,09830100"
VIX,SBVT,Eurico de Aguiar Salles International Airport,"-20,25800000","-40,28500000"
IZA,SBZM,Presidente Itamar Franco Airport,"-21,51308600","-43,17306900"
ZUD,SCAC,Pupelde Airport,"-41,90425100","-73,79657100"
LOB,SCAN,San Rafael Airport,"-32,81391200","-70,64664200"
WAP,SCAP,Alto Palena Airport,"-43,61149200","-71,80545200"
ARI,SCAR,Chacalluta International Airport,"-18,34849900","-70,33869900"
WPA,SCAS,Cabo Juan Román Airfield,"-45,39920000","-72,67030300"
CPO,SCAT,Desierto de Atacama Airport,"-27,26120000","-70,77919800"
BBA,SCBA,Balmaceda Airport,"-45,91596800","-71,68949900"
TOQ,SCBE,Barriles Airport,"-22,14110000","-70,06289700"
DPB,SCBI,Pampa Guanaco Airport,"-54,04997700","-68,80919300"
CCH,SCCC,Chile Chico Airport,"-46,58310000","-71,68632300"
CJC,SCCF,El Loa Airport,"-22,49819900","-68,90360300"
YAI,SCCH,Gral. Bernardo O´Higgins Airport,"-36,58250000","-72,03140300"
PUQ,SCCI,President Carlos Ibáñez International Airport,"-53,00260200","-70,85459900"
COW,SCCQ,Tambillos Airport,"-30,19888900","-71,24694400"
GXQ,SCCY,Teniente Vidal Airport,"-45,59420000","-72,10610200"
IQQ,SCDA,Diego Aracena International Airport,"-20,53627300","-70,18137300"
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,"-33,39300156","-70,78579712"
ESR,SCES,Ricardo García Posada Airport,"-26,31110000","-69,76519800"
FRT,SCEV,El Avellano Airport,"-41,05166600","-73,35111000"
ANF,SCFA,Andrés Sabella Gálvez International Airport,"-23,44527400","-70,44523200"
WPR,SCFM,Captain Fuentes Martinez Airport,"-53,25370000","-70,31919900"
FFU,SCFT,Futaleufú Airport,"-43,18920100","-71,85109700"
UGL,SCGC,Union Glacier Blue-Ice Runway,"-79,77777800","-83,32083300"
LSQ,SCGE,María Dolores Airport,"-37,40169900","-72,42540000"
WPU,SCGZ,Guardia Marina Zañartu Airport,"-54,93109900","-67,62629700"
LGR,SCHR,Cochrane Airport,"-47,24359100","-72,58815000"
CCP,SCIE,Carriel Sur International Airport,"-36,77235000","-73,06282800"
IPC,SCIP,Mataveri International Airport,"-27,16541100","-109,42102700"
ZOS,SCJO,Cañal Bajo Carlos Hott Siebert Airport,"-40,61119800","-73,06099700"
CPP,SCKP,Coposa Airport,"-20,75050000","-68,68350200"
VLR,SCLL,Vallenar Airport,"-28,59639900","-70,75599700"
ZLR,SCLN,Municipal de Linares Airport,"-35,86169800","-71,54859900"
PNT,SCNT,Lieutenant Julio Gallardo Airport,"-51,67067000","-72,52907800"
OVL,SCOV,El Tuqui Airport,"-30,55920000","-71,17559800"
ZPC,SCPC,Pucón Airport,"-39,29280100","-71,91590100"
MHC,SCPQ,Mocopulli Airport,"-42,34038800","-73,71569300"
PUX,SCPV,El Mirador Airport,"-41,34940000","-72,94670100"
ZCO,SCQP,La Araucanía International Airport,"-38,92590000","-72,65150000"
CNR,SCRA,Chañaral Airport,"-26,33250000","-70,60730000"
VAP,SCRD,Rodelillo Airport,"-33,06810000","-71,55750300"
TNM,SCRM,Teniente Rodolfo Marsh Martin Airport,"-62,19102600","-58,98669000"
SMB,SCSB,Franco Bianco Airport,"-52,73669800","-69,33360300"
LSC,SCSE,La Florida Airport,"-29,91620100","-71,19950100"
SSD,SCSF,Víctor Lafón Airport,"-32,74580000","-70,70500200"
WCA,SCST,Gamboa Airport,"-42,49029900","-73,77279700"
PZS,SCTC,Maquehue Airport,"-38,76679993","-72,63710022"
PMC,SCTE,El Tepual International Airport,"-41,44309300","-73,09406500"
TLX,SCTL,Panguilemo Airport,"-35,37780000","-71,60170000"
WCH,SCTN,Nuevo Chaitén Airport,"-42,78194300","-72,83499900"
ZIC,SCTO,Victoria Airport,"-38,24560200","-72,34860200"
TTC,SCTT,Las Breas Airport,"-25,56430100","-70,37590000"
ZAL,SCVD,Pichoy Airport,"-39,65000153","-73,08609772"
KNA,SCVM,Viña del Mar Airport,"-32,94960000","-71,47860000"
BVM,SD6P,Belmonte Airport,"-15,87170000","-38,87189900"
GDR,SDAG,Angra dos Reis Airport,"-22,97530000","-44,30709800"
OLC,SDCG,Senadora Eunice Micheles Airport,"-3,46907000","-68,92105600"
SOD,SDCO,Sorocaba Airport,"-23,47800100","-47,49000200"
JTN,SDIM,Itanhaém Airport,"-24,15972900","-46,79060400"
FEC,SDIY,João Durval Carneiro Airport,"-12,20069400","-38,90616400"
JLS,SDJL,Jales Airport,"-20,29229600","-50,54554600"
PBA,SDLO,Fábio Perini Airport,"-13,56480000","-38,93999900"
JMR,SBMI,Maricá Airport,"-22,91950000","-42,83089800"
NVM,SDNM,Brigadeiro Eduardo Gomes Airport,"-13,82102100","-56,03859100"
OUS,SDOU,Jornalista Benedito Pimentel Airport,"-22,96659800","-49,91204900"
OIA,SDOW,Ourilândia do Norte Airport,"-6,76299200","-51,04993000"
REZ,SDRS,Resende Airport,"-22,47850000","-44,48030100"
QSC,SDSC,Mário Pereira Lopes–São Carlos International Airport,"-21,87503200","-47,90385100"
JPY,SDTK,Paraty Airport,"-23,22404400","-44,72340000"
UBT,SDUB,Ubatuba Gastão Madeira State Airport,"-23,44112200","-45,07581400"
ITP,SDUN,Itaperuna Airport,"-21,21929932","-41,87590027"
VOT,SDVG,Domingos Pignatari Airport,"-20,45842600","-50,00313400"
JTA,SDZG,Pedro Teixeira Castelo Airport,"-5,93340000","-40,29750000"
HUV,ESNH,Hudiksvall Airport,"61,76808700","17,08071500"
ATF,SEAM,Chachoán Regional Airport,"-1,21207000","-78,57460000"
OCC,SECO,Francisco De Orellana Airport,"-0,46288600","-76,98680100"
CUE,SECU,Mariscal Lamar Airport,"-2,88947000","-78,98439800"
GPS,SEGS,Seymour Galapagos Ecological Airport,"-0,45375800","-90,26590000"
GYE,SEGU,José Joaquín de Olmedo International Airport,"-2,15742000","-79,88359800"
IBB,SEII,General Villamil Airport,"-0,94262800","-90,95300300"
TNW,SEJD,Jumandy Airport,"-1,06018500","-77,58052500"
JIP,SEJI,Jipijapa Airport,"-1,00000000","-80,66666412"
LTX,SELT,Cotopaxi International Airport,"-0,90683300","-78,61579900"
MRR,SEMA,Jose Maria Velasco Ibarra Airport,"-4,37823009","-79,94100189"
XMS,SEMC,Coronel E Carvajal Airport,"-2,29917002","-78,12079620"
MEC,SEMT,Eloy Alfaro International Airport,"-0,94607800","-80,67880249"
LGQ,SENL,Nueva Loja Airport,"0,09305600","-76,86750031"
PYO,SEPT,Putumayo Airport,"0,11594900","-75,85022000"
PVO,SEPV,Reales Tamarindos Airport,"-1,04165000","-80,47219800"
UIO,SEQM,Mariscal Sucre International Airport,"-0,12539900","-78,35430600"
ETR,SERO,Santa Rosa - Artillery Colonel Victor Larrea International Airport,"-3,44198600","-79,99695700"
SNC,SESA,General Ulpiano Paez International Airport,"-2,21005700","-80,98506700"
SUQ,SESC,Sucúa Airport,"-2,47420100","-78,16904100"
PTZ,SESM,Rio Amazonas Airport,"-1,50524000","-78,06269800"
SCY,SEST,San Cristóbal Airport,"-0,91020600","-89,61740100"
BHA,SESV,Los Perales Airport,"-0,60811100","-80,40270200"
TSC,SETH,Taisha Airport,"-2,38167000","-77,50280000"
TPN,SETI,Tiputini Airport,"-0,77611100","-75,52639800"
LOH,SECA,Ciudad de Catamayo Airport,"-3,99560600","-79,37190200"
ESM,SETN,Carlos Concha Torres International Airport,"0,97851900","-79,62660200"
TPC,SETR,Tarapoa Airport,"-0,12295600","-76,33779900"
TUA,SETU,Lieutenant Colonel Luis A. Mantilla International Airport,"0,80950600","-77,70809900"
PSY,SFAL,Port Stanley Airport,"-51,68569900","-57,77759900"
ASU,SGAS,Silvio Pettirossi International Airport,"-25,24015600","-57,51922700"
AYO,SGAY,Aeropuerto Nacional Juan de Ayolas,"-27,37837900","-56,85679100"
BFA,SGBN,Bahía Negra Airport,"-20,23077700","-58,17045500"
CIO,SGCO,Lieutenant Colonel Carmelo Peralta National Airport,"-23,44160900","-57,42703900"
ENO,SGEN,Teniente Ramon A. Ayub Gonzalez International Airport,"-27,22753700","-55,83758400"
AGT,SGES,Guaraní International Airport,"-25,45718600","-54,83954400"
